user_id,log_id,sequence_id,correct
50121,167478035,7014,0
50121,167478043,7014,1
50121,167478053,7014,1
50121,167478069,7014,1
50964,167478041,7014,1
50964,167478050,7014,1
50964,167478055,7014,0
50964,167478073,7014,1
50964,167478076,7014,1
50964,167478081,7014,1
52189,167477540,7196,0
52189,167477546,7196,1
52189,167477547,7196,1
52189,167477549,7196,1
52189,167478036,7014,0
62430,167477862,37570,0
62430,167477880,37570,1
62432,167477835,37570,0
62432,167477856,37570,0
62432,167477877,37570,1
62432,167477884,37570,0
62432,167477890,37570,1
62432,167477892,37570,0
62432,167477908,37570,0
62432,167477912,37570,1
62432,167477914,37570,0
62432,167477925,37570,0
62432,167478032,7014,0
62432,167478038,7014,1
62432,167478040,7014,1
62432,167478044,7014,0
62432,167478052,7014,1
62432,167478058,7014,1
62432,167478064,7014,1
62433,167478085,7014,1
62433,167478092,7014,1
62433,167478097,7014,1
62435,167478034,7014,0
62435,167478070,7014,1
62435,167478075,7014,1
62435,167478079,7014,0
62435,167478086,7014,1
62435,167478091,7014,1
62435,167478094,7014,1
62437,167477819,8864,1
62437,167477843,8864,1
62437,167477844,8864,0
62437,167477853,8864,1
62437,167477857,8864,0
62437,167477866,8864,1
62437,167477869,8864,0
62437,167477878,8864,1
62437,167477883,8864,1
62437,167477887,8864,1
62437,167477900,7196,1
62437,167477904,7196,1
62437,167477906,7196,1
62437,167477919,24173,1
62437,167477921,24173,1
62437,167477928,24173,1
62437,167477933,37570,0
62437,167477946,37570,0
62437,167477954,37570,1
62437,167477958,37570,1
62437,167477962,37570,1
62521,167478048,7014,1
62521,167478057,7014,1
62521,167478066,7014,1
72374,163452086,5976,1
72374,163771685,236309,1
72374,164062070,236309,0
72374,171466415,7159,1
72374,171473626,7159,1
72374,171473645,7159,0.666666667
72374,171546124,7159,1
72374,171546133,7159,1
72374,171546136,7159,1
72374,171546156,7014,1
72374,171546163,7014,1
72374,171546171,7014,1
72374,171546203,5965,1
72374,171546208,5965,1
72374,171546214,5965,1
72374,171546246,7020,1
72374,171546255,7020,1
72374,171546257,7020,1
72374,171546285,11898,1
72374,171546294,11898,1
72374,171546298,11898,1
72374,171832353,14247,1
72374,171833734,14247,1
72374,171833759,14247,1
72374,171833845,7157,1
72374,171833864,7157,1
72374,171834501,7157,1
